Добавлены или изменены в 3х текстовиках (WF_OB_txt.pac: z/za/ze objcts.txt):
ava0180.def 011111111111111111111111111111111111111111111111 100000000000000000000000000000000000000000000000 111111111 000000001 5 179 4 0
ava0181.def 011111111111111111111111111111111111111111111111 100000000000000000000000000000000000000000000000 111111111 000000001 5 180 4 0
ava0182.def 011111111111111111111111111111111111111111111111 100000000000000000000000000000000000000000000000 111111111 000000001 5 181 4 0
ava0183.def 011111111111111111111111111111111111111111111111 100000000000000000000000000000000000000000000000 111111111 000000001 5 182 4 0
ava0184.def 011111111111111111111111111111111111111111111111 100000000000000000000000000000000000000000000000 111111111 000000001 5 183 4 0
ava0185.def 011111111111111111111111111111111111111111111111 100000000000000000000000000000000000000000000000 111111111 000000001 5 184 4 0
ava0186.def 011111111111111111111111111111111111111111111111 100000000000000000000000000000000000000000000000 111111111 000000001 5 185 4 0
ava0187.def 011111111111111111111111111111111111111111111111 100000000000000000000000000000000000000000000000 111111111 000000001 5 186 4 0
ava0188.def 011111111111111111111111111111111111111111111111 100000000000000000000000000000000000000000000000 111111111 000000001 5 187 4 0
ava0189.def 011111111111111111111111111111111111111111111111 100000000000000000000000000000000000000000000000 111111111 000000001 5 188 4 0
ava0259.def 011111111111111111111111111111111111111111111111 100000000000000000000000000000000000000000000000 111111111 000000001 5 258 4 0
ava0261.def 011111111111111111111111111111111111111111111111 100000000000000000000000000000000000000000000000 111111111 000000001 5 260 4 0
ava0268.def 011111111111111111111111111111111111111111111111 100000000000000000000000000000000000000000000000 111111111 000000001 5 267 4 0
ava0269.def 011111111111111111111111111111111111111111111111 100000000000000000000000000000000000000000000000 111111111 000000001 5 268 4 0
ava0270.def 011111111111111111111111111111111111111111111111 100000000000000000000000000000000000000000000000 111111111 000000001 5 269 4 0
ava0271.def 011111111111111111111111111111111111111111111111 100000000000000000000000000000000000000000000000 111111111 000000001 5 270 4 0
ava0272.def 011111111111111111111111111111111111111111111111 100000000000000000000000000000000000000000000000 111111111 000000001 5 271 4 0

Удалены в zaobjcts.txt:

ZObj015.def 101111110001111111111111111111111111111111111111 010000000000000000000000000000000000000000000000 111111111 011111111 4 1 0 0
avgbhmt1.def 000111111111111111111111111111111111111111111111 010000000000000000000000000000000000000000000000 111111111 011111111 17 1 0 0
avgcycl1.def 000111111111111111111111111111111111111111111111 010000000000000000000000000000000000000000000000 111111111 011111111 17 9 0 0
zobj045.def 011111111111111111111111111111111111111111111111 100000000000000000000000000000000000000000000000 011110111 011110111 49 0 0 0
avswar30.def 101111111111111111111111111111111111111111111111 010000000000000000000000000000000000000000000000 111111111 011111111 107 0 0 0
zdeswhl.def 000111110001111111111111111111111111111111111111 100000000000000000000000000000000000000000000000 111111111 000000010 109 0 0 0


Удалены из WF_Objects.pac (т.к. дублируются в EmeraldArtifacts.pac):

ava0142.DEF/MSK
ava0150.DEF/MSK

